Size,Alg,Time(ms),Comparisons
2700,stdQuickSort,2.30536,32665
2700,stdMergeSort,2.76533,26216
2700,strQuickSort,5.76234,110335
2700,strMergeSort,9.93691,50470
2700,radixSort,4.73946,13034
2700,radixQuickSort,1.73231,29849
2800,stdQuickSort,3.78985,58009
2800,stdMergeSort,2.67468,27735
2800,strQuickSort,5.747,118719
2800,strMergeSort,10.0484,53738
2800,radixSort,4.79066,13508
2800,radixQuickSort,1.63738,30902
2900,stdQuickSort,2.86002,43861
2900,stdMergeSort,2.75859,28445
2900,strQuickSort,5.89757,123980
2900,strMergeSort,10.0145,54939
2900,radixSort,4.63428,14004
2900,radixQuickSort,1.61397,31903
3000,stdQuickSort,1.19111,20522
3000,stdMergeSort,2.8089,29001
3000,strQuickSort,6.47512,129523
3000,strMergeSort,10.8218,55971
3000,radixSort,5.0523,14480
3000,radixQuickSort,1.71241,32980
