Size,Alg,Time(ms),Comparisons
2700,stdQuickSort,4.27674,50595
2700,stdMergeSort,4.1192,39461
2700,strQuickSort,1.88713,36475
2700,strMergeSort,11.4931,66435
2700,radixSort,4.82594,12904
2700,radixQuickSort,1.40652,23389
2800,stdQuickSort,3.91255,53456
2800,stdMergeSort,4.04052,41376
2800,strQuickSort,1.93313,39956
2800,strMergeSort,11.256,69482
2800,radixSort,4.78666,13380
2800,radixQuickSort,1.43064,24626
2900,stdQuickSort,4.09971,55058
2900,stdMergeSort,4.33107,43084
2900,strQuickSort,2.14279,41029
2900,strMergeSort,12.2335,72402
2900,radixSort,5.08017,13922
2900,radixQuickSort,1.4119,25772
3000,stdQuickSort,4.00318,57216
3000,stdMergeSort,4.23577,45099
3000,strQuickSort,1.83113,38426
3000,strMergeSort,12.1423,75467
3000,radixSort,5.26493,14498
3000,radixQuickSort,1.52809,26841
